Tiếng Trung,Phiên âm,Từ loại,Tiếng Việt,Ví dụ,Phiên âm,Dịch
身体,shēntǐ,danh  từ,Cơ thể,外婆每天五点起床到公园锻炼身体。,Wàipó měitiān wǔ diǎn qǐchuáng dào gōngyuán duànliàn shēntǐ.,Mỗi ngày 5 giờ bà ngoại đều đến công viên tập thể dục.
生病,shēngbìng,Động từ,Sinh bệnh,小明今天没来上学，可能是生病了。,"Xiǎomíng jīntiān méi lái shàngxué, kěnéng shì shēngbìngle.","Hôm nay Tiểu Minh vẫn chưa đến lớp, có thể là do ốm rồi."
,,,Ốm,,,
生日,shēngrì,Danh từ,Sinh nhật,我的生日恰好在“六一”儿童节这天。,Wǒ de shēngrì qiàhǎo zài “liùyī” értóng jié zhè tiān.,Sinh nhật của mình vừa đúng vàongày 1 tháng 6 tết thiếu nhi.
时间,shíjiān,Danh từ,Thời gian,时间过得真快，不知不觉一年又过去了。,"Shíjiānguò dé zhēn kuài, bùzhī bùjué yì nián yòu guòqùle.","Thời gian trôi qua thật nhanh, bất giác 1 năm lại đã qua rồi."
事情,shìqíng,Danh từ,Sự tình; sự việc,别火上浇油把事情闹大了！,Bié huǒshàngjiāo yóu bǎ shìqíng nào dàle!,Đừng thêm dầu vào lửa khiến sự việc thêm nghiêm trọng trọng nữa!
,,,Công việc,,,
手表,shǒubiǎo,Danh từ,Đồng hồ,这块手表已经没有修理价值，该报废了。,"Zhè kuài shǒubiǎo yǐjīng méiyǒu xiūlǐ jiàzhí, gāi bàofèile.","Cái đồng hồ này đã không thể sửa được nữa rồi, nên bỏ đi thôi."
手机,shǒujī,Danh từ,Điện thoại,这台手机是最先进的手机之一。,Zhè tái shǒujī shì zuì xiānjìn de shǒujī zhī yī.,Đây là một trong những mẫu điện thoại tiên tiến nhất.
送,sòng,Động từ,Tặng,雪中送炭,xuězhōngsòngtàn,giúp người khi gặp nạn
所以,suǒyǐ,Liên từ,Vì thế,因为今天我忙，所以没有去。,Yīnwèi jīntiān wǒ máng，suǒyǐ méiyǒu qù.,"Bởi vì hôm nay tôi bận, cho nên không đi.."
,,,Vì vậy,,.,
它,tā,Danh từ,Nó,至死靡它,zhìsǐmítā,Đến chết cũng không đổi
踢足球,tī zúqiú,Động từ,Đá bóng,我每个星期日都跟朋友一起去踢足球。,Wǒ měi gè xīngqīrì dōu gēn péngyou yìqǐ qù tī zúqiú.,Mỗi chủ nhật tôi đều cùng bạn đi đá bóng.
题,tí,Danh từ,"Đề (bài, mục)",小题大做,xiǎotídàzuò,Việc bé xé ra to
跳舞,tiàowǔ,Danh từ,Khiêu vũ,跳舞是我的爱好。,Tiàowǔ shì wǒ de àihào.,Khiêu vũ là sở thích của tôi.
,,,Nhảy,,,
外,wài,Phương vị từ,Ngoài,古今中外/,gǔjīn zhōngwài.,Từ cổ chí kim
,,,Ngoại,外婆,wàipó.,Bà ngoại
玩,wán,Động từ,Chơi,一考完试，小明就忘乎所以地玩。,"Yì kǎo wán shì, xiǎomíng jiù wànghūsuǒyǐ de wán.","Thi xong, Tiểu Minh gần như quên hết mọi thứ rồi chơi."
完,wán,Động từ,Xong,没完没了,méiwán méiliǎo,Vô cùng tận
晚上,wǎnshàng,Từ chỉ thời gian,Buổi tối,晚上一起吃顿饭吧。,Wǎnshàng yīqǐ chī dùn fàn ba.,Tối nay cùng nhau ăn bữa cơm đi.
为什么,wèishéme,Từ để hỏi/Đại từ nghi vấn,Vì sao,不知道为什么小李进来事情就这么惨呢？,Bù zhīdào wèishéme Xiǎolǐ jìnlái shìqíng jiù zhème cǎn ne?,Không biết tại sao khi Tiểu Lý bước vào tình hình lại trở nên tồi tệ như vậy?
问,wèn,Động từ,Hỏi,一问三不知,yí wèn sānbùzhī,Cái gì cũng không biết
问题,wèntí,Danh từ,Câu hỏi,这个问题恐怕我解决不了了。,Zhège wèntí kǒngpà wǒ jiějué bùliǎole.,Vấn đề này e là tôi cũng không giải quyết được rồi.
西瓜,xīguā,Danh từ,Dưa hấu,我最喜欢喝西瓜汁。,Wǒ zuì xǐhuān hē xīguāzhī.,Tôi thích nhất uống nước ép dưa hấu.
希望,xīwàng,Động từ,Hy vọng,亲爱的妈妈爸爸，我不会辜负你们的希望。,"Qīn’ài de māma bàba, wǒ bú huì gūfù nǐmen de xīwàng.","Bố mẹ thân yêu của con, con sẽ không phụ sự kỳ vọng của mọi người."
洗,xǐ,Động từ,Rửa,碧空如洗,bìkōngrúxǐ,Sáng trong như ngọc
向,xiàng,Động từ,Hướng đến ai,晕头传向,yūntóu chuánxiàng.,Đầu óc choáng váng
小时,xiǎoshí,Danh từ,Giờ; tiếng đồng hồ,他一做就做到八个小时才休息。,Tā yí zuò jiù zuò dào bā gè xiǎoshí cái xiūxi.,Một khi anh ấy đã làm thì phải 8 giờ sau mới nghỉ.
笑,xiào,Động từ,Cười,哭笑不得,kūxiàobùdé,Dở khóc dở cười
新,xīn,Tính từ,Mới,日新月异,rìxīnyuèyì,"Biến chuyển từng ngày, thay đổi từng ngày"
姓,xìng,Danh từ,Họ,请问您贵姓？,Qǐngwèn nín guìxìng?,Xin hỏi họ của ngài là gì?
休息,xiūxi,Động từ,Nghỉ ngơi,走累了，找个地方休息休息。,Zǒulèi le，zhǎogè dìfāng xīuxi xīuxi,"Điện thoại là phương tiện truyền gửi thông tin.Đi mệt rồi, tìm chỗ nào nghỉ ngơi một tý."
雪,xuě,Danh từ,Tuyết,雪中送炭,xuězhōngsòngtàn,Giúp người khi gặp nạn
颜色,yánsè,Danh từ,Màu sắc,你喜欢什么颜色？,Nǐ xǐhuān shénme yánsè?,Bạn thích màu nào?
眼睛,yǎnjīng,Danh từ,Đôi mắt,小姑娘长着两只水灵灵的眼睛。,Xiǎo gūniang zhǎng zhe liǎng zhī shuǐlínglíng de yǎnjīng.,Cô gáicó đôi mắt đẹp long lanh.
羊肉,yángròu,Danh từ,Thịt Dê,挂羊肉买狗头。,Guà yángròu mǎi gǒutóu.,Treo đầu dê bán thịt chó.
要,yào,Động từ,Muốn,要言不烦,yàoyá bù fán,Rõ ràng khúc chiết
,,,Cần,,,
药,yào,Danh từ,Thuốc,中药/ 西药/,zhōngyào/ xīyào/,Thuốc Đông y
,,,,良药苦口,Liángyào kǔkǒu,Thuốc Tây y
,,,,,,Thuốc đắng giã tật.
也,yě,Trợ từ ngữ khí,Cũng,之乎者也,zhīhūzhěyě,Diễn tả bài văn hoặc lời nói không rõ ràng
已经,yǐjīng,Phó  từ,Đã,这张照片已经模糊不清，无法辨认了。,"Zhè zhāng zhàopiàn yǐjīng móhú bù qīng, wúfǎ biànrènle.","Bức ảnh đã mờ nhòe rồi, không còn nhận rõ ai nữa."
,,,Rồi,,,
一起,Yìqǐ,Trạng  từ,Cùng với,我们在一起了。,Wǒmen zài yīqǐle.,Chúng tôi ở bên nhau rồi.
,,,Cùng nhau,,,
意思,yìsi,Danh từ,Ý nghĩa,你是什么意思？,Nǐ shì shénme yìsi?,Ý của bạn là gì?
阴,yīn,Tính từ,Âm,阴差阳错,yīnchāyángcuò,Sai sót ngẫu ngẫu nhiên
因为,yīnwèi,Liên từ,Bởi vì,因为我知道你在想什么。,Yīnwèi wǒ zhīdào nǐ zài xiǎng shénme.,Bởi vì tôi biết cậu đang nghĩ gì.
游泳,yóuyǒng,Động từ,Bơi lội,这个暑假，我除了读书就是游泳。,"Zhège shǔjià, wǒ chúle dúshū jiùshì yóuyǒng.","Kỳ nghỉ hè lần này, mình ngoại trừ đọc sách ra thì chỉ có đi bơi."
右边,yòubiān,Danh từ,Bên phải,我坐在老王的右边。,Wǒ zuò zài lǎo Wáng de yòubian.,Tôi ngồi bên phải của lão Vương.
鱼,yú,Danh từ,Cá,鱼贯而入/出,yúguàn ér rù/chū.,Nối đuôi nhau đi/vào
元,yuán,Danh từ,Đồng,一元复始,yīyuánfù shǐ.,Khởi đầu vạn sự
,,,Họ: Nguyên,,,
远,yuǎn,Tính từ,Xa,远近闻名,yuǎnjìn wénmíng,Danh tiếng vang xa
运动,yùndòng,Động từ,Vận động,你太偷懒了，快去运动吧。,"Nǐ tài tōulǎnle, kuài qù yùndòng ba.","Bạn lười quá rồi, nhanh dậy vận động đi."
再,zài,Phó từ,Lại lần nữa,你再说一遍吧。,Nǐ zàishuō yībiàn ba.,Bạn nói lại lần nữa đi.
早上,zǎoshang,Từ chỉ thời gian,Buổi sáng,明天早上去跑步吗？,Míngtiān zǎoshang qù pǎobù ma?,Buổi sáng ngày mai đi chạy bộ không?
张,zhāng,Lượng từ,Trang,张三李四,zhāngsānlǐsì,Ông A bà B
,,Họ,Họ: Trương,,,
丈夫,zhàngfu,Danh từ,Chồng,明天早上我跟丈夫去旅游了。,Míngtiān zǎoshang wǒ gēn zhàngfū qù lǚyóule.,Sáng mai tôi đi du lịch cùng chồng.
找,zhǎo,Động từ,"Tìm, tìm kiếm",骑马找马,qímǎzhǎo mǎ,Đứng núi này trông núi nọ
着,zhe,Trợ từ,Đang,小姑娘长着两只水灵灵的眼睛。,Xiǎo gūniang zhǎng zhe liǎng zhī shuǐlíng líng de yǎnjīng.,Cô gái có đôi mắt đẹp long lanh.
真,zhēn,Tính từ,Thật; chính xác,千真万确,qiānzhēnwànquè,Cực kỳ chính xác
正在,zhèngzài,Trạng từ chỉ thời gian,Đang,他正在准备移民。,Tā zhèngzài zhǔnbèi yímín.,Anh ý đang chuẩn bị di cư.
,,,Vẫn đang,,,
知道,zhīdào,Động từ,Biết,你明明知道，为什么还问我呢？,"Nǐ míngmíng zhīdào, wèishéme hái wèn wǒ ne?","Bạn rõ ràng đã biết, tại sao vẫn cứ hỏi mình chứ?"
准备,zhǔnbèi,Động từ,Chuẩn bị,我准备好了老师。,Wǒ zhǔnbèi hǎole lǎoshī.,Em chuẩn bị ổn thỏa rồi thưa thầy.
自行车,zìxíngchē,Danh từ,Xe đạp,每天我都乘自行车上课。,Měitiān wǒ dōu chéng zìxíngchē shàngkè.,Mỗi ngày tôi đều đạp xe tới trường.
走,zǒu,Động từ,Đi,一起走吧!,Yìqǐ zǒu ba!,Đi cùng nhau thôi.
最,zuì,Phó từ chỉ mức độ,Nhất,你最最最重要。,Nǐ zuì zuì zuì zhòngyào.,Bạn cực kì cực kì cực kì quan trọng với tôi.
左边,zuǒbiān,Danh từ,Bên trái,老王坐在我左边。,Lǎo Wáng zuò zài wǒ zuǒbian.,Lão Vương ngồi bên trái tôi.
,,,,,,
,,,,,,
